payment_value,payment_installments,price,freight_value,item_count,delivery_delay_days,review_score,product_category_name_english,high_risk
49.69,4.0,36.9,12.79,1.0,-7.0,3.0,bed_bath_table,0
154.19,4.0,119.99,34.2,1.0,-12.0,5.0,garden_tools,0
356.12,10.0,339.0,17.12,1.0,7.0,1.0,housewares,1
95.67,9.0,69.9,25.77,1.0,-20.0,5.0,sports_leisure,0
121.62,1.0,99.0,22.62,1.0,-31.0,4.0,stationery,0
22.36,1.0,14.49,7.87,1.0,0.0,1.0,health_beauty,1
153.72,7.0,139.0,14.72,1.0,-11.0,1.0,garden_tools,1
54.82,1.0,36.9,17.92,1.0,-18.0,4.0,sports_leisure,0
82.33,5.0,69.9,12.43,1.0,-4.0,5.0,furniture_decor,0
52.24,1.0,33.9,18.34,1.0,-11.0,5.0,sports_leisure,0
130.56,1.0,115.0,15.56,1.0,-15.0,5.0,books_general_interest,0
52.84,1.0,39.47,13.37,1.0,-9.0,5.0,construction_tools_construction,0
71.91,1.0,53.44,18.47,1.0,-17.0,5.0,small_appliances,0
151.04,2.0,120.0,31.04,2.0,-16.0,1.0,sports_leisure,1
386.33,10.0,369.0,17.33,1.0,-13.0,4.0,watches_gifts,0
50.25,1.0,38.4,11.85,1.0,-16.0,5.0,furniture_decor,0
128.68,3.0,119.9,8.78,1.0,-27.0,5.0,perfumery,0
43.46,1.0,29.99,13.47,1.0,-21.0,5.0,small_appliances,0
91.68,9.0,45.98,45.7,2.0,1.0,1.0,telephony,1
99.26,1.0,84.9,14.36,1.0,7.0,1.0,furniture_decor,1
141.15,1.0,113.0,28.15,1.0,-17.0,5.0,sports_leisure,0
91.66,1.0,79.9,11.76,1.0,-13.0,4.0,bed_bath_table,0
53.66,1.0,39.9,13.76,1.0,-5.0,5.0,sports_leisure,0
317.34,9.0,299.0,18.34,1.0,-13.0,5.0,sports_leisure,0
43.0,1.0,27.9,15.1,1.0,-4.0,4.0,food,0
346.09,3.0,318.0,28.09,2.0,-21.0,4.0,computers_accessories,0
824.76,4.0,659.8,164.96,2.0,-28.0,3.0,construction_tools_construction,0
39.99,1.0,24.89,15.1,1.0,-20.0,4.0,telephony,0
392.6,3.0,339.6,53.0,4.0,-21.0,5.0,auto,0
55.02,1.0,42.99,12.03,1.0,-8.0,5.0,construction_tools_construction,0
46.2,1.0,27.9,18.3,1.0,-9.0,3.0,food,0
59.34,1.0,50.0,9.34,1.0,-9.0,5.0,baby,0
209.41,1.0,190.0,19.41,1.0,-19.0,5.0,air_conditioning,0
57.0,4.0,42.9,14.1,1.0,-11.0,4.0,cool_stuff,0
84.56,1.0,69.9,14.66,1.0,-12.0,5.0,health_beauty,0
267.8,1.0,190.0,77.8,5.0,-2.0,1.0,housewares,1
145.66,5.0,113.98,31.68,2.0,-16.0,5.0,perfumery,0
37.83,1.0,24.99,12.84,1.0,-2.0,5.0,auto,0
234.28,1.0,219.0,15.28,1.0,-15.0,1.0,watches_gifts,1
201.82,1.0,186.0,15.82,2.0,-1.0,4.0,watches_gifts,0
27.77,2.0,19.99,7.78,1.0,-15.0,3.0,health_beauty,0
59.1,1.0,45.0,14.1,1.0,-10.0,5.0,telephony,0
66.98,1.0,58.2,8.78,1.0,-16.0,5.0,health_beauty,0
132.26,3.0,110.99,21.27,1.0,-14.0,3.0,bed_bath_table,0
63.34,5.0,38.5,24.84,1.0,-14.0,4.0,bed_bath_table,0
231.12,1.0,179.99,51.13,1.0,-13.0,2.0,office_furniture,1
574.36,1.0,544.0,30.36,1.0,-15.0,5.0,sports_leisure,0
29.92,2.0,14.82,15.1,1.0,-13.0,5.0,bed_bath_table,0
409.79,1.0,394.9,14.89,1.0,-13.0,4.0,computers_accessories,0
62.69,6.0,49.9,12.79,1.0,-15.0,5.0,fashion_underwear_beach,0
105.56,5.0,89.18,16.38,1.0,-4.0,5.0,furniture_decor,0
37.38,1.0,29.99,7.39,1.0,-12.0,4.0,telephony,0
76.65,7.0,58.99,17.66,1.0,-3.0,5.0,health_beauty,0
120.84,4.0,98.44,22.4,1.0,-24.0,1.0,computers_accessories,1
238.69,1.0,219.9,18.79,1.0,-13.0,4.0,watches_gifts,0
772.08,8.0,759.0,13.08,1.0,-7.0,5.0,telephony,0
103.27,1.0,65.9,37.37,1.0,-10.0,5.0,sports_leisure,0
23.69,2.0,10.9,12.79,1.0,-21.0,5.0,furniture_decor,0
101.74,5.0,83.9,17.84,1.0,17.0,1.0,furniture_decor,1
28.86,1.0,17.9,10.96,1.0,-16.0,5.0,bed_bath_table,0
117.77,2.0,99.2,18.57,1.0,-35.0,5.0,baby,0
172.14,2.0,160.0,12.14,1.0,-2.0,5.0,housewares,0
42.59,3.0,29.9,12.69,1.0,-14.0,5.0,sports_leisure,0
21.38,1.0,13.99,7.39,1.0,1.0,5.0,health_beauty,0
50.35,1.0,35.0,15.35,1.0,0.0,3.0,christmas_supplies,0
554.4,8.0,535.9,18.5,1.0,-17.0,4.0,health_beauty,0
96.01,1.0,69.9,26.11,1.0,-19.0,4.0,furniture_decor,0
609.9,6.0,589.9,20.0,1.0,-28.0,4.0,health_beauty,0
42.4,1.0,27.3,15.1,1.0,-17.0,5.0,0,0
253.4,1.0,235.99,17.41,1.0,-13.0,2.0,watches_gifts,1
28.62,1.0,19.9,8.72,1.0,-16.0,1.0,housewares,1
40.09,4.0,25.99,14.1,1.0,32.0,1.0,furniture_decor,1
26.44,1.0,18.5,7.94,1.0,-17.0,5.0,perfumery,0
132.88,1.0,99.8,33.08,2.0,-8.0,5.0,stationery,0
111.89,3.0,84.99,26.9,1.0,-28.0,5.0,health_beauty,0
231.79,8.0,199.0,32.79,1.0,-7.0,4.0,cool_stuff,0
135.51,5.0,109.9,25.61,1.0,32.0,3.0,bed_bath_table,1
38.1,1.0,29.99,8.11,1.0,-17.0,5.0,fashion_bags_accessories,0
74.03,7.0,59.9,14.13,1.0,-11.0,5.0,housewares,0
58.0,5.0,42.9,15.1,1.0,-14.0,1.0,housewares,1
66.02,6.0,43.0,23.02,1.0,-16.0,5.0,watches_gifts,0
53.2,1.0,25.0,28.2,2.0,-1.0,4.0,sports_leisure,0
518.39,1.0,449.88,68.50999999999999,3.0,-27.0,3.0,bed_bath_table,0
78.15,1.0,59.9,18.25,1.0,-10.0,4.0,musical_instruments,0
84.57,3.0,69.99,14.58,1.0,-9.0,5.0,bed_bath_table,0
155.0,3.0,129.6,25.4,1.0,-15.0,1.0,office_furniture,1
142.16,10.0,63.6,78.56,2.0,-14.0,4.0,furniture_decor,0
141.9,1.0,129.9,12.0,1.0,-17.0,1.0,bed_bath_table,1
113.62,1.0,99.9,13.72,1.0,-14.0,4.0,bed_bath_table,0
138.28,2.0,125.9,12.38,1.0,0.0,5.0,perfumery,0
161.77,1.0,146.0,15.77,1.0,-16.0,5.0,watches_gifts,0
95.52,2.0,78.98,16.54,2.0,-7.0,5.0,health_beauty,0
68.59,1.0,54.99,13.6,1.0,-11.0,5.0,bed_bath_table,0
106.38,1.0,89.99,16.39,1.0,-24.0,1.0,health_beauty,1
141.67,2.0,129.9,11.77,1.0,-22.0,5.0,sports_leisure,0
89.88,2.0,69.9,19.98,1.0,-22.0,5.0,health_beauty,0
187.2,1.0,161.8,25.4,2.0,-22.0,5.0,computers_accessories,0
118.35,1.0,110.32,8.03,1.0,-4.0,5.0,health_beauty,0
309.72,1.0,275.96999999999997,33.75,3.0,-17.0,5.0,sports_leisure,0
38.47,3.0,25.0,13.47,1.0,-20.0,5.0,housewares,0
312.91,1.0,259.9,53.01,1.0,-11.0,5.0,luggage_accessories,0
51.79,1.0,39.0,12.79,1.0,-11.0,5.0,stationery,0
232.14,8.0,215.22,16.919999999999998,2.0,-8.0,1.0,sports_leisure,1
22.79,1.0,7.0,15.79,1.0,-20.0,2.0,perfumery,1
67.5,1.0,49.9,17.6,1.0,6.0,1.0,garden_tools,1
156.67,1.0,126.99,29.68,1.0,-7.0,5.0,health_beauty,0
53.83,5.0,28.99,24.84,1.0,-17.0,5.0,telephony,0
299.72,10.0,281.99,17.73,1.0,-19.0,5.0,garden_tools,0
314.34,1.0,270.0,44.339999999999996,6.0,-6.0,5.0,construction_tools_lights,0
97.88,1.0,89.49,8.39,1.0,-13.0,5.0,health_beauty,0
75.18,1.0,60.0,15.18,1.0,-8.0,5.0,baby,0
161.3,1.0,109.98,51.32,2.0,-15.0,5.0,pet_shop,0
117.45,4.0,93.99,23.46,1.0,-9.0,5.0,books_technical,0
170.43,5.0,148.9,21.53,1.0,0.0,5.0,bed_bath_table,0
141.06,1.0,119.9,21.16,1.0,-24.0,3.0,toys,0
69.12,1.0,53.99,15.13,1.0,0.0,0.0,perfumery,0
134.58,1.0,119.0,15.58,1.0,-16.0,5.0,stationery,0
59.85,1.0,48.0,11.85,1.0,-11.0,5.0,telephony,0
68.63,1.0,49.1,19.53,1.0,-29.0,4.0,small_appliances,0
86.05,1.0,66.39,19.66,1.0,-19.0,5.0,food,0
64.74,1.0,39.9,24.84,1.0,-22.0,4.0,garden_tools,0
217.78,5.0,159.99,57.79,1.0,-20.0,5.0,baby,0
67.5,6.0,49.9,17.6,1.0,-18.0,4.0,furniture_decor,0
63.79,6.0,36.9,26.89,1.0,0.0,1.0,sports_leisure,1
215.14,1.0,199.0,16.14,1.0,-15.0,5.0,watches_gifts,0
126.67,1.0,75.99000000000001,50.68,2.0,-29.0,5.0,books_technical,0
285.59,1.0,229.9,55.69,1.0,-7.0,5.0,sports_leisure,0
145.5,8.0,117.3,28.2,1.0,-8.0,4.0,auto,0
43.29,4.0,35.9,7.39,1.0,-4.0,5.0,bed_bath_table,0
38.41,1.0,24.9,13.51,1.0,-21.0,5.0,electronics,0
402.49,1.0,359.9,42.59,1.0,-28.0,5.0,bed_bath_table,0
110.89,6.0,98.7,12.19,1.0,-14.0,5.0,auto,0
204.45,3.0,179.9,24.55,1.0,-5.0,1.0,office_furniture,1
109.35,1.0,99.9,9.45,1.0,-14.0,5.0,home_appliances,0
74.74,1.0,62.8,11.94,1.0,-11.0,3.0,market_place,0
56.86,1.0,45.0,11.86,1.0,-6.0,2.0,home_appliances,1
97.81,1.0,80.0,17.81,1.0,-23.0,5.0,health_beauty,0
133.25,1.0,109.9,23.35,1.0,-16.0,5.0,baby,0
180.95,1.0,159.0,21.95,1.0,-11.0,5.0,bed_bath_table,0
445.32,1.0,410.0,35.32,1.0,-11.0,4.0,agro_industry_and_commerce,0
52.51,5.0,37.99,14.52,1.0,-17.0,5.0,telephony,0
124.16,5.0,110.0,14.16,1.0,-4.0,5.0,0,0
65.47,1.0,52.39,13.08,1.0,-13.0,5.0,health_beauty,0
98.16,1.0,87.37,10.79,1.0,-7.0,4.0,housewares,0
40.78,1.0,24.99,15.79,1.0,-10.0,5.0,telephony,0
273.27,2.0,257.6,15.67,1.0,-24.0,5.0,party_supplies,0
106.73,1.0,83.0,23.73,1.0,-9.0,5.0,computers_accessories,0
187.19,1.0,159.99,27.2,1.0,-12.0,3.0,home_confort,0
389.82,4.0,359.8,30.02,2.0,-13.0,5.0,perfumery,0
393.46,10.0,359.5,33.96,1.0,-22.0,5.0,cool_stuff,0
122.22,1.0,90.0,32.22,2.0,-21.0,4.0,cds_dvds_musicals,0
698.85,7.0,679.0,19.85,1.0,-11.0,2.0,telephony,1
99.33,4.0,84.99,14.34,1.0,-17.0,5.0,perfumery,0
58.28,2.0,49.99,8.29,1.0,-13.0,4.0,perfumery,0
77.03,1.0,59.9,17.13,1.0,-10.0,4.0,housewares,0
49.73,1.0,39.99,9.74,1.0,-4.0,3.0,computers_accessories,0
139.8,1.0,139.8,0.0,2.0,-21.0,2.0,furniture_decor,1
86.36,1.0,69.9,16.46,1.0,1.0,4.0,pet_shop,0
423.67,10.0,336.49,87.18,2.0,-16.0,3.0,furniture_decor,0
108.01,1.0,95.0,13.01,1.0,-16.0,5.0,stationery,0
35.36,1.0,27.9,7.46,1.0,-6.0,5.0,auto,0
305.7,5.0,289.9,15.8,1.0,-12.0,5.0,market_place,0
216.26,3.0,189.9,26.36,1.0,-28.0,3.0,telephony,0
83.05,1.0,69.9,13.15,1.0,-3.0,5.0,health_beauty,0
121.68,1.0,99.9,21.78,1.0,-17.0,5.0,furniture_decor,0
57.68,1.0,49.9,7.78,1.0,-7.0,5.0,fashion_bags_accessories,0
92.97,1.0,68.0,24.97,1.0,-32.0,4.0,toys,0
35.24,1.0,25.9,9.34,1.0,-14.0,5.0,sports_leisure,0
286.54,3.0,269.9,16.64,1.0,-18.0,3.0,sports_leisure,0
78.09,1.0,52.88,25.21,1.0,-12.0,5.0,housewares,0
301.19,7.0,279.99,21.2,1.0,-12.0,5.0,sports_leisure,0
140.88,1.0,102.0,38.88,1.0,-7.0,5.0,industry_commerce_and_business,0
41.69,4.0,28.9,12.79,1.0,-33.0,4.0,sports_leisure,0
20.75,1.0,12.88,7.87,1.0,-2.0,4.0,computers_accessories,0
165.4,3.0,129.97,35.43,1.0,-18.0,5.0,housewares,0
102.56,1.0,96.0,6.56,1.0,-3.0,5.0,watches_gifts,0
84.64,8.0,64.99,19.65,1.0,-10.0,1.0,bed_bath_table,1
446.51,4.0,428.0,18.51,1.0,-15.0,5.0,baby,0
217.78,10.0,159.99,57.79,1.0,-14.0,5.0,baby,0
138.09,1.0,120.0,18.09,1.0,-16.0,4.0,construction_tools_lights,0
50.68,5.0,37.99,12.69,1.0,-7.0,5.0,bed_bath_table,0
170.1,6.0,155.99,14.11,1.0,-12.0,5.0,perfumery,0
89.88,1.0,69.9,19.98,1.0,-16.0,5.0,furniture_decor,0
103.55,3.0,89.9,13.65,1.0,-14.0,4.0,bed_bath_table,0
160.14,3.0,135.0,25.14,1.0,-6.0,5.0,bed_bath_table,0
46.0,2.0,31.9,14.1,1.0,-12.0,5.0,computers_accessories,0
63.46,6.0,49.99,13.47,1.0,-11.0,3.0,health_beauty,0
145.0,3.0,136.78,8.22,1.0,0.0,5.0,perfumery,0
136.4,1.0,117.7,18.7,1.0,-6.0,5.0,perfumery,0
34.24,3.0,22.5,11.74,1.0,-9.0,4.0,0,0
146.44,2.0,129.9,16.54,1.0,-17.0,5.0,books_general_interest,0
257.94,8.0,220.64,37.3,2.0,-7.0,1.0,health_beauty,1
240.23,2.0,199.9,40.33,1.0,0.0,3.0,sports_leisure,0
80.1,2.0,64.9,15.2,1.0,-28.0,5.0,fashion_bags_accessories,0
74.16,3.0,59.99,14.17,1.0,-16.0,5.0,watches_gifts,0
338.0,2.0,320.0,18.0,1.0,-17.0,5.0,consoles_games,0
183.65,2.0,129.0,54.65,1.0,-26.0,4.0,computers_accessories,0
18.62,1.0,9.9,8.72,1.0,-27.0,5.0,furniture_bedroom,0
753.94,1.0,719.4,34.54,2.0,-1.0,5.0,furniture_decor,0
64.09,2.0,49.99,14.1,1.0,-16.0,3.0,fashion_bags_accessories,0
59.47,1.0,48.32,11.15,1.0,-6.0,4.0,garden_tools,0
91.18,5.0,74.9,16.28,1.0,-14.0,4.0,bed_bath_table,0
83.33,1.0,65.0,18.33,1.0,-20.0,5.0,construction_tools_safety,0
28.46,2.0,17.5,10.96,1.0,-7.0,4.0,computers_accessories,0
53.3,1.0,38.2,15.1,1.0,-13.0,5.0,sports_leisure,0
76.29,1.0,68.0,8.29,1.0,-7.0,5.0,stationery,0
403.32,1.0,383.5,19.82,1.0,-16.0,4.0,auto,0
95.21,4.0,79.9,15.31,1.0,-14.0,5.0,health_beauty,0
103.5,3.0,79.8,23.7,2.0,-20.0,5.0,bed_bath_table,0
211.89,1.0,199.0,12.89,1.0,-15.0,5.0,health_beauty,0
111.4,3.0,99.0,12.4,1.0,-8.0,2.0,furniture_decor,1
143.32,3.0,119.9,23.42,1.0,-8.0,5.0,pet_shop,0
45.95,1.0,34.99,10.96,1.0,-15.0,5.0,fixed_telephony,0
223.26,5.0,199.0,24.26,1.0,49.0,1.0,auto,1
124.7,1.0,105.0,19.7,1.0,-27.0,5.0,watches_gifts,0
41.69,1.0,24.9,16.79,1.0,-15.0,3.0,sports_leisure,0
216.93,8.0,199.9,17.03,1.0,-16.0,5.0,bed_bath_table,0
241.74,6.0,219.8,21.94,2.0,-8.0,5.0,health_beauty,0
136.37,2.0,119.0,17.37,1.0,-22.0,5.0,sports_leisure,0
30.96,1.0,20.0,10.96,1.0,-25.0,4.0,bed_bath_table,0
48.83,1.0,35.0,13.83,1.0,-20.0,5.0,drinks,0
75.1,1.0,56.9,18.2,1.0,-1.0,5.0,kitchen_dining_laundry_garden_furniture,0
76.67,7.0,60.0,16.67,1.0,-21.0,4.0,pet_shop,0
198.12,2.0,178.99,19.13,1.0,-14.0,5.0,watches_gifts,0
132.05,1.0,122.99,9.06,1.0,-3.0,5.0,0,0
112.46,1.0,94.0,18.46,1.0,-4.0,4.0,furniture_decor,0
84.43,5.0,70.91,13.52,1.0,3.0,1.0,furniture_decor,1
84.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1
210.64,4.0,174.9,35.74,1.0,-15.0,5.0,baby,0
124.76,1.0,109.9,14.86,1.0,-8.0,4.0,bed_bath_table,0
69.73,1.0,59.99,9.74,1.0,0.0,5.0,sports_leisure,0
31.22,3.0,12.99,18.23,1.0,-15.0,5.0,telephony,0
22.18,1.0,13.3,8.88,1.0,-1.0,5.0,auto,0
76.85,1.0,64.9,11.95,1.0,-6.0,5.0,furniture_decor,0
32.69,3.0,15.9,16.79,1.0,-18.0,4.0,auto,0
100.57,1.0,79.97,20.6,1.0,-10.0,5.0,sports_leisure,0
88.31,2.0,79.99,8.32,1.0,-23.0,5.0,health_beauty,0
55.56,1.0,44.9,10.66,1.0,-7.0,5.0,toys,0
363.96,5.0,325.0,38.96,1.0,-7.0,5.0,health_beauty,0
84.91,1.0,72.9,12.01,1.0,-12.0,5.0,bed_bath_table,0
207.02,3.0,109.0,98.02,1.0,-5.0,4.0,sports_leisure,0
419.12,8.0,394.65,24.47,1.0,-15.0,5.0,health_beauty,0
42.27,1.0,34.49,7.78,1.0,-11.0,4.0,health_beauty,0
94.74,4.0,66.99,27.75,1.0,-22.0,5.0,health_beauty,0
79.63,1.0,54.9,24.73,1.0,-12.0,2.0,baby,1
194.06,8.0,170.0,24.06,1.0,-8.0,3.0,watches_gifts,0
39.75,1.0,27.9,11.85,1.0,-6.0,5.0,books_general_interest,0
50.86,5.0,39.9,10.96,1.0,-14.0,5.0,fashion_bags_accessories,0
108.2,2.0,89.99,18.21,1.0,-11.0,5.0,cool_stuff,0
102.74,1.0,84.9,17.84,1.0,-11.0,5.0,fashion_shoes,0
72.05,1.0,34.9,37.15,1.0,-12.0,5.0,watches_gifts,0
24.38,1.0,16.99,7.39,1.0,-8.0,4.0,computers_accessories,0
56.78,1.0,49.0,7.78,1.0,-14.0,5.0,watches_gifts,0
131.33,1.0,119.0,12.33,1.0,-3.0,3.0,sports_leisure,0
238.41,6.0,219.0,19.41,1.0,-12.0,5.0,watches_gifts,0
148.69,1.0,129.9,18.79,1.0,-35.0,3.0,health_beauty,0
116.34,1.0,89.18,27.16,1.0,-6.0,5.0,furniture_decor,0
204.06,2.0,179.8,24.26,2.0,-9.0,5.0,bed_bath_table,0
96.8,1.0,79.0,17.8,1.0,-2.0,5.0,stationery,0
130.69,1.0,115.0,15.69,1.0,-8.0,4.0,baby,0
865.01,10.0,844.0,21.01,1.0,0.0,1.0,watches_gifts,1
322.17,6.0,299.0,23.17,1.0,-8.0,5.0,furniture_decor,0
275.19,8.0,259.9,15.29,1.0,-11.0,4.0,bed_bath_table,0
78.22,1.0,55.9,22.32,1.0,-9.0,4.0,sports_leisure,0
40.86,4.0,29.9,10.96,1.0,-34.0,5.0,furniture_decor,0
206.87,1.0,174.9,31.97,1.0,-20.0,4.0,baby,0
262.37,9.0,245.9,16.47,1.0,0.0,1.0,pet_shop,1
998.49,1.0,721.5,277.0,4.0,-12.0,1.0,home_construction,1
257.42,4.0,191.8,65.62,2.0,-11.0,4.0,auto,0
61.75,5.0,49.9,11.85,1.0,-22.0,5.0,furniture_decor,0
77.03,7.0,39.99,37.04,1.0,-26.0,5.0,telephony,0
96.88,5.0,89.0,7.88,1.0,-11.0,5.0,audio,0
162.25,1.0,144.99,17.26,1.0,6.0,0.0,cool_stuff,0
57.46,1.0,43.99,13.47,1.0,-8.0,3.0,stationery,0
73.34,2.0,59.9,13.44,1.0,-15.0,5.0,garden_tools,0
39.75,2.0,21.5,18.25,1.0,-23.0,5.0,stationery,0
159.07,1.0,139.99,19.08,1.0,-28.0,4.0,health_beauty,0
159.04,1.0,99.9,59.14,1.0,-11.0,3.0,sports_leisure,0
34.0,1.0,19.9,14.1,1.0,-11.0,4.0,auto,0
49.239999999999995,1.0,39.9,9.34,1.0,-10.0,5.0,perfumery,0
63.86,1.0,52.0,11.86,1.0,-15.0,4.0,computers_accessories,0
177.36,1.0,159.0,18.36,1.0,-10.0,5.0,furniture_decor,0
143.94,1.0,132.0,11.94,1.0,-4.0,5.0,cool_stuff,0
174.42,2.0,139.9,34.52,1.0,-21.0,5.0,housewares,0
180.45,1.0,135.0,45.45,1.0,7.0,1.0,sports_leisure,1
299.84,1.0,267.0,32.84,1.0,0.0,1.0,books_technical,1
165.57,3.0,153.0,12.57,1.0,-10.0,5.0,bed_bath_table,0
101.34,1.0,84.99,16.35,1.0,-1.0,5.0,perfumery,0
69.32,5.0,59.9,9.42,1.0,-10.0,5.0,furniture_decor,0
139.56,5.0,129.9,9.66,1.0,-2.0,5.0,cool_stuff,0
54.36,1.0,38.25,16.11,1.0,-12.0,5.0,toys,0
436.7,5.0,412.0,24.7,1.0,-6.0,5.0,air_conditioning,0
192.95,3.0,168.9,24.05,1.0,-9.0,4.0,0,0
1255.43,10.0,1148.0,107.43,1.0,-15.0,5.0,home_appliances_2,0
59.18,3.0,35.9,23.28,1.0,0.0,2.0,baby,1
72.64,7.0,55.0,17.64,1.0,-22.0,5.0,housewares,0
51.79,1.0,39.0,12.79,1.0,-14.0,4.0,bed_bath_table,0
90.88,1.0,69.9,20.98,1.0,-12.0,5.0,sports_leisure,0
307.64,4.0,279.0,28.64,2.0,-19.0,1.0,computers_accessories,1
85.24,1.0,69.99,15.25,1.0,-16.0,5.0,toys,0
41.69,4.0,24.9,16.79,1.0,-19.0,5.0,housewares,0
96.02,9.0,75.0,21.02,1.0,-17.0,5.0,housewares,0
26.29,1.0,18.9,7.39,1.0,-5.0,4.0,housewares,0
1119.6,10.0,1099.0,20.6,1.0,-8.0,3.0,small_appliances,0
83.1,1.0,65.9,17.2,1.0,-16.0,5.0,bed_bath_table,0
44.0,1.0,28.9,15.1,1.0,-19.0,4.0,computers_accessories,0
44.41,4.0,22.32,22.09,1.0,-25.0,5.0,computers_accessories,0
2031.09,1.0,1999.0,32.09,1.0,-16.0,5.0,watches_gifts,0
222.68,1.0,204.0,18.68,1.0,9.0,1.0,watches_gifts,1
87.58,8.0,69.0,18.58,1.0,-12.0,5.0,perfumery,0
264.22,3.0,249.0,15.22,1.0,-8.0,5.0,telephony,0
368.11,8.0,349.9,18.21,1.0,-21.0,5.0,perfumery,0
96.47,1.0,64.99,31.48,1.0,-10.0,4.0,computers_accessories,0
221.28,2.0,185.9,35.38,1.0,-8.0,5.0,toys,0
172.42,5.0,154.9,17.52,1.0,-14.0,5.0,watches_gifts,0
283.54,5.0,249.22,34.32,2.0,-8.0,5.0,health_beauty,0
44.37,3.0,21.15,23.22,1.0,-9.0,5.0,housewares,0
161.01,2.0,144.9,16.11,1.0,-9.0,5.0,sports_leisure,0
139.17,6.0,131.0,8.17,1.0,0.0,5.0,stationery,0
117.74,8.0,94.5,23.24,1.0,-16.0,5.0,bed_bath_table,0
125.33,4.0,102.9,22.43,1.0,-4.0,5.0,watches_gifts,0
201.42,8.0,182.0,19.42,1.0,-15.0,5.0,watches_gifts,0
30.79,2.0,18.0,12.79,1.0,-9.0,5.0,health_beauty,0
190.48,1.0,166.99,23.49,1.0,-5.0,4.0,cool_stuff,0
33.77,1.0,25.99,7.78,1.0,-10.0,5.0,telephony,0
55.620000000000005,2.0,29.99,25.63,1.0,-18.0,5.0,telephony,0
44.87,1.0,31.99,12.88,1.0,-11.0,4.0,cool_stuff,0
383.98,1.0,350.0,33.98,2.0,-13.0,4.0,computers_accessories,0
83.22,1.0,60.0,23.22,1.0,-13.0,5.0,sports_leisure,0
97.87,1.0,84.94,12.93,1.0,-13.0,5.0,sports_leisure,0
109.26,1.0,65.69999999999999,43.56,3.0,-32.0,3.0,furniture_decor,0
104.37,3.0,89.0,15.37,1.0,-15.0,1.0,health_beauty,1
205.57,5.0,159.99,45.58,1.0,-17.0,4.0,office_furniture,0
137.38,1.0,99.99,37.39,1.0,-31.0,5.0,sports_leisure,0
104.08,3.0,94.5,9.58,1.0,-23.0,5.0,construction_tools_construction,0
320.18,1.0,300.0,20.18,1.0,0.0,1.0,sports_leisure,1
